Country Name,2012,2013,2014,2015,2016,2017,2018
Poland,38063164,38040196,38011735,37986412,37970087,37974826,37978548
Pre-demographic dividend,775573001,798495530,821931240,845759344,869943914,894512725,919485393
Puerto Rico,3634488,3593077,3534874,3473166,3406495,3325001,3195153
"Korea, Dem. People?s Rep.",24800612,24929452,25057752,25183833,25307744,25429985,25549819
Portugal,10514844,10457295,10401062,10358076,10325452,10300300,10281762
Paraguay,6421512,6510276,6599526,6688746,6777872,6867062,6956071
West Bank and Gaza,3979998,4076708,4173398,4270092,4367088,4454805,4569087
Pacific island small states,2268708,2296101,2325136,2355672,2388307,2422086,2457367
Post-demographic dividend,1082370705,1087128029,1092096206,1097025299,1101992071,1106035186,1109997273
French Polynesia,268998,270328,271705,273124,274575,276103,277679
Qatar,2196074,2336574,2459198,2565710,2654374,2724724,2781677
Romania,20058035,19983693,19908979,19815481,19702332,19587491,19473936
Russian Federation,143201676,143506911,143819666,144096870,144342396,144496740,144478050
Rwanda,10549678,10811543,11083635,11369071,11668818,11980937,12301939
South Asia,1683747130,1705772050,1727640967,1749417068,1771167194,1792835608,1814388744
Saudi Arabia,29155187,30052518,30916994,31717667,32442572,33099147,33699947
Sudan,36193783,37072550,37977655,38902950,39847440,40813396,41801533
Senegal,13401991,13782420,14174731,14578459,14993528,15419381,15854360
Singapore,5312437,5399162,5469724,5535002,5607283,5612253,5638676
Solomon Islands,556064,571335,587079,603118,619437,636038,652858
Sierra Leone,6712581,6863980,7017144,7171914,7328838,7488431,7650154
El Salvador,6237923,6266070,6295128,6325124,6356143,6388122,6420744
San Marino,32105,32553,32948,33272,33504,33671,33785
Somalia,12715510,13063706,13423576,13797201,14185613,14589119,15008154
Serbia,7199077,7164132,7130576,7095383,7058322,7020858,6982084
Sub-Saharan Africa (excluding high income),917638670,942951121,968868428,995365059,1022431864,1050057829,1078209758
South Sudan,10113647,10355036,10554883,10715658,10832512,10910759,10975920
Sub-Saharan Africa,917726973,943041070,968959787,995458478,1022526541,1050153672,1078306520
Small states,36568692,37214028,37862981,38526753,39200572,39885876,40575321
Sao Tome and Principe,188404,192087,195727,199432,203227,207089,211028
Suriname,541245,547291,553273,559143,564888,570496,575991
Slovak Republic,5407579,5413393,5418649,5423801,5430798,5439232,5447011
Slovenia,2057159,2059953,2061980,2063531,2065042,2066388,2067372
Sweden,9519374,9600379,9696110,9799186,9923085,10057698,10183175
Eswatini,1079288,1086839,1095021,1104044,1113984,1124753,1136191
Sint Maarten (Dutch part),34640,36607,37685,38825,39969,40574,40654
Seychelles,88303,89949,91359,93419,94677,95843,96762
Syrian Arab Republic,20442541,19584274,18715672,17997408,17453933,17068002,16906283
Turks and Caicos Islands,34066,34731,35369,35981,36559,37115,37665
Chad,12784750,13220424,13663559,14110975,14561666,15016773,15477751
East Asia & Pacific (IDA & IBRD countries),1969562739,1983964453,1998513398,2012980531,2027771091,2042687863,2056064424
Europe & Central Asia (IDA & IBRD countries),445596591,448074081,450528180,453034345,455505650,457810292,459865205
Togo,6773807,6954721,7137997,7323158,7509952,7698475,7889094
Thailand,67835957,68144501,68438730,68714511,68971331,69209858,69428524
Tajikistan,7874835,8059769,8252833,8454028,8663579,8880268,9100837
Turkmenistan,5267900,5366375,5466328,5565287,5662372,5757669,5850908
Latin America & the Caribbean (IDA & IBRD countries),587491182,594063071,600555906,606956985,613258172,619460244,625569713
Timor-Leste,1132994,1153295,1174331,1196302,1219288,1243261,1267972
Middle East & North Africa (IDA & IBRD countries),341024011,347222485,353463942,359705458,365909373,372091950,378327628
Tonga,102737,101768,101028,100781,101133,101998,103197
South Asia (IDA & IBRD),1683747130,1705772050,1727640967,1749417068,1771167194,1792835608,1814388744
Sub-Saharan Africa (IDA & IBRD countries),917726973,943041070,968959787,995458478,1022526541,1050153672,1078306520
Trinidad and Tobago,1344817,1353700,1362342,1370328,1377564,1384072,1389858
Tunisia,10847002,10952951,11063201,11179949,11303946,11433443,11565204
Turkey,74653016,75928564,77231907,78529409,79821724,81101892,82319724
Tuvalu,10739,10857,10972,11099,11225,11370,11508
Tanzania,47052481,48482266,49959822,51482633,53050790,54663906,56318348
Uganda,34559168,35695246,36912148,38225453,39647506,41162465,42723139
Ukraine,45593300,45489600,45271947,45154029,45004645,44831135,44622516
Upper middle income,2537625754,2557649560,2577855859,2597757681,2617804661,2637690770,2655635719
Uruguay,3378974,3389439,3400434,3412009,3424132,3436646,3449299
